Id	D8B1	D8B2	D8B3	D8B6	D8B7	D8B8	D8B9	D20B1	D20B2	D20B3	D20B6	D20B7	D20B8	D20B9	norm.D8B1	norm.D8B2	norm.D8B3	norm.D8B6	norm.D8B7	norm.D8B8	norm.D8B9	norm.D20B1	norm.D20B2	norm.D20B3	norm.D20B6	norm.D20B7	norm.D20B8	norm.D20B9	baseMean	D8	D20	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
PRELSG_0000100	645	363	59	622	848	1192	554	268	3	61	4	64	39	5	54	97	151	121	79	93	78	120	55	192	99	103	202	65	107.73	96	119	1.36	0.444	1.791	0.0732661982466575	0.991295925212038	0.0804	0.0635	0.0728	0.0728	TRUE	NA
PRELSG_0000180	23	11	3	48	31	54	22	28	0	2	1	1	1	1	2	3	8	9	3	4	3	12	0	6	25	2	5	13	6.81	5	9	2.012	1.009	1.598	0.109987392032579	0.999204487240972	0.2872	0.3204	0.3041	0.3041	TRUE	NA
PRELSG_0000200	21	10	1	4	8	18	9	1	0	0	0	13	3	0	2	3	3	1	1	1	1	0	0	0	0	21	16	0	3.43	2	5	2.847	1.509	1.574	0.115404751699555	NA	1.3479	0.5908	0.9591	0.9591	TRUE	NA
PRELSG_0000300	18	4	0	11	15	19	18	6	0	0	0	2	0	0	2	1	0	2	1	1	3	3	0	0	0	3	0	0	1.15	1	1	1.602	0.68	0.664	0.506924315761541	NA	0	1.6778	0.9837	0.9837	TRUE	NA
PRELSG_0000400	3	3	0	0	4	3	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	3.445	1.784	0.711	0.476857521559951	NA	0	10.9967	9.3836	9.3836	TRUE	NA
PRELSG_0000500	30	23	0	15	26	38	24	5	0	2	0	2	1	0	3	6	0	3	2	3	3	2	0	6	0	3	5	0	2.66	3	2	1.317	0.397	0.513	0.60773269173969	NA	0	0.7483	0.4362	0.4362	TRUE	NA
PRELSG_0000600	8	1	0	4	7	18	4	3	0	1	0	0	0	1	1	0	0	1	1	1	1	1	0	3	0	0	0	13	1.56	1	2	3.227	1.69	1.673	0.0942294842043778	NA	0	1.2467	0.8553	0.8553	TRUE	NA
PRELSG_0000700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRELSG_0000800	127	86	12	98	159	218	114	48	0	8	1	4	3	3	11	23	31	19	15	17	16	21	0	25	25	6	16	39	18.83	19	19	1.035	0.05	0.119	0.905332342445622	0.999204487240972	0.143	0.1454	0.1446	0.1446	TRUE	NA
PRELSG_0000900	87	23	5	38	76	70	65	12	1	1	0	5	0	1	7	6	13	7	7	5	9	5	18	3	0	8	0	13	7.37	8	7	0.769	-0.378	-0.668	0.503925273745096	0.999204487240972	0	0.2998	0.1859	0.1859	TRUE	NA
PRELSG_0001000	69	41	3	41	85	70	71	28	1	9	1	3	9	1	6	11	8	8	8	5	10	12	18	28	25	5	47	13	14.57	8	21	2.367	1.243	2.56	0.0104724091378982	0.422947098455241	0.2663	0.1745	0.2209	0.2209	TRUE	NA
PRELSG_0001100	81	12	5	14	61	39	40	9	2	0	0	4	0	0	7	3	13	3	6	3	6	4	36	0	0	6	0	0	6.2	6	7	0.807	-0.31	-0.381	0.703377681821541	0.999204487240972	0.9286	0.3473	0.5979	0.5979	TRUE	NA
PRELSG_0001150	12	2	1	0	9	10	11	1	0	0	0	3	0	0	1	1	3	0	1	1	2	0	0	0	0	5	0	0	0.9	1	1	2.239	1.163	0.918	0.358676139053924	NA	0	2.1311	1.8315	1.8315	TRUE	NA
PRELSG_0001200	136	80	16	179	202	120	127	50	0	6	1	17	4	0	11	21	41	35	19	9	18	22	0	19	25	27	21	0	19.19	22	16	1.06	0.085	0.204	0.83809335060599	0.999204487240972	0.1448	0.1436	0.144	0.144	TRUE	NA
PRELSG_0001300	150	34	3	42	62	85	90	6	0	1	0	10	4	4	13	9	8	8	6	7	13	3	0	3	0	16	21	52	11.22	9	14	1.191	0.252	0.393	0.694268550290966	0.999204487240972	0.5747	0.2127	0.3991	0.3991	TRUE	NA
PRELSG_0001400	1914	559	42	587	1237	1365	773	345	4	5	1	155	2	5	160	149	108	114	116	107	109	154	73	16	25	249	10	65	103.85	123	85	0.488	-1.034	-2.374	0.0176192784367595	0.569539410665168	0.4427	0.0642	0.2446	0.2446	TRUE	NA
PRELSG_0001500	626	228	38	307	652	710	584	207	2	39	2	44	18	5	52	61	98	60	61	56	83	92	36	123	49	71	93	65	71.35	67	76	1.268	0.343	1.513	0.130211694892585	0.999204487240972	0.0272	0.0724	0.0475	0.0475	TRUE	NA
PRELSG_0001600	3	0	0	1	6	6	8	3	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	2	5	0	0.77	0	1	6.205	2.633	2.111	0.0347580029068802	NA	0	2.485	1.6521	1.6521	TRUE	NA
PRELSG_0001650	19	8	0	7	35	17	4	1	0	0	0	0	0	0	2	2	0	1	3	1	1	0	0	0	0	0	0	0	0.76	1	0	0.855	-0.227	-0.165	0.86858788550937	NA	0	2.4912	2.2332	2.2332	TRUE	NA
PRELSG_0001700	4908	1911	263	2182	4314	6008	3336	1056	18	176	29	298	120	41	409	509	675	424	404	470	472	471	328	553	717	478	621	532	504.61	480	529	1.101	0.139	0.859	0.390566126296006	0.999204487240972	0.0264	0.0499	0.0358	0.0358	TRUE	NA
PRELSG_0001800	3	1	0	3	6	11	5	1	0	1	0	0	4	0	0	0	0	1	1	1	1	0	0	3	0	0	21	0	1.96	1	3	5.051	2.336	2.27	0.0231881845815377	NA	0	0.997	0.9621	0.9621	TRUE	NA
PRELSG_0001900	9	4	0	11	11	24	13	4	0	0	0	1	3	0	1	1	0	2	1	2	2	2	0	0	0	2	16	0	1.97	1	3	2.614	1.386	1.575	0.11522169838823	NA	0	0.9936	0.6383	0.6383	TRUE	NA
PRELSG_0001950	30	7	0	17	34	40	31	2	0	0	0	1	0	0	3	2	0	3	3	3	4	1	0	0	0	2	0	0	1.49	3	0	0.633	-0.659	-0.66	0.509410313764628	NA	0	1.2995	0.8644	0.8644	TRUE	NA
PRELSG_0002000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRELSG_0002050	103	20	1	35	68	153	52	19	0	0	0	0	1	0	9	5	3	7	6	12	7	8	0	0	0	0	5	0	4.47	7	2	0.44	-1.183	-1.537	0.124277636955257	0.999204487240972	0	0.4638	0.4233	0.4233	TRUE	NA
PRELSG_0002100	443	126	9	128	299	572	215	69	0	6	0	3	7	2	37	34	23	25	28	45	30	31	0	19	0	5	36	26	24.16	32	17	0.557	-0.845	-2.078	0.0376768548903206	0.770105988654564	0.1225	0.1235	0.1257	0.1257	TRUE	NA
PRELSG_0002180	56	33	5	56	96	117	43	73	0	7	0	13	2	4	5	9	13	11	9	9	6	33	0	22	0	21	10	52	14.22	9	20	2.572	1.363	2.664	0.00772598910308315	0.355484615938819	0.3494	0.1776	0.2654	0.2654	TRUE	NA
PRELSG_0002200	199	46	3	48	119	73	74	30	1	5	0	4	2	1	17	12	8	9	11	6	10	13	18	16	0	6	10	13	10.73	10	11	0.99	-0.014	-0.031	0.975667160941116	0.999253761407554	0	0.2202	0.1377	0.1377	TRUE	NA
PRELSG_0002250	3	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	11.472	3.52	1.158	0.246957142318153	NA	0	35.9995	14	14	TRUE	NA
PRELSG_0002300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRELSG_0002400	15	25	4	53	33	74	29	49	2	3	0	6	1	1	1	7	10	10	3	6	4	22	36	9	0	10	5	13	9.79	6	14	2.964	1.567	2.616	0.00890965819687489	0.396427380006833	0.4689	0.2371	0.3601	0.3601	TRUE	NA
PRELSG_0002500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRELSG_0002600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRELSG_0002700	52	17	2	22	62	77	29	8	1	0	2	4	1	1	4	5	5	4	6	6	4	4	18	0	49	6	5	13	9.29	5	14	1.476	0.561	0.829	0.406866901161329	0.999204487240972	0.4435	0.2473	0.3495	0.3495	TRUE	NA
PRELSG_0002800	58	23	1	24	18	44	19	4	0	0	0	1	0	0	5	6	3	5	2	3	3	2	0	0	0	2	0	0	2.1	4	1	0.518	-0.949	-1.058	0.290127719522815	NA	0	0.9358	0.5668	0.5668	TRUE	NA
PRELSG_0002900	33	10	1	8	26	26	20	4	0	1	0	1	2	2	3	3	3	2	2	2	3	2	0	3	0	2	10	26	4.26	3	6	1.865	0.899	1.169	0.242510943893191	NA	0.4686	0.4847	0.4758	0.4758	TRUE	NA
PRELSG_0003000	26	14	0	23	20	30	23	17	0	0	0	1	2	0	2	4	0	4	2	2	3	8	0	0	0	2	10	0	2.67	2	3	1.773	0.826	1.027	0.304293243856655	NA	0	0.7459	0.5	0.5	TRUE	NA
PRELSG_0003050	35	17	2	28	53	126	45	10	1	4	0	0	2	0	3	5	5	5	5	10	6	4	18	13	0	0	10	0	6.06	6	6	1.038	0.054	0.085	0.932068154595226	0.999204487240972	0	0.3545	0.2921	0.2921	TRUE	NA
PRELSG_0003100	14	14	2	13	20	31	14	4	0	0	0	3	1	0	1	4	5	3	2	2	2	2	0	0	0	5	5	0	2.19	3	2	1.341	0.423	0.516	0.605616881905493	NA	0	0.9007	0.5103	0.5103	TRUE	NA
PRELSG_0003110	12	10	0	15	24	30	18	20	2	2	0	4	0	2	1	3	0	3	2	2	3	9	36	6	0	6	0	26	6.98	2	12	5.235	2.388	3.806	0.000141167837785923	0.0352580874644322	0.3113	0.3137	0.3129	0.3129	TRUE	NA
PRELSG_0003190	33	10	1	18	33	89	22	15	1	1	0	3	2	0	3	3	3	3	3	7	3	7	18	3	0	5	10	0	4.85	4	6	1.854	0.891	1.479	0.139158585106559	0.999204487240972	0	0.4315	0.2305	0.2305	TRUE	NA
PRELSG_0003200	15	2	1	10	9	17	6	7	0	0	0	0	0	0	1	1	3	2	1	1	1	3	0	0	0	0	0	0	0.89	1	0	1.348	0.43	0.363	0.716292298359139	NA	0	2.149	1.4109	1.4109	TRUE	NA
PRELSG_0003300	10	7	0	9	7	23	8	7	0	0	0	1	1	0	1	2	0	2	1	2	1	3	0	0	0	2	5	0	1.28	1	1	2.513	1.329	1.388	0.16519642557212	NA	0	1.5045	0.7913	0.7913	TRUE	NA
PRELSG_0003400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRELSG_0003500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRELSG_0003600	22	14	1	16	34	33	29	18	0	0	0	3	0	0	2	4	3	3	3	3	4	8	0	0	0	5	0	0	2.43	3	2	1.224	0.292	0.342	0.732402914822237	NA	0	0.8164	0.5842	0.5842	TRUE	NA
PRELSG_0003700	170	93	12	146	238	274	169	14	0	0	1	0	1	0	14	25	31	28	22	21	24	6	0	0	25	0	5	0	14.42	24	5	0.171	-2.551	-3.907	9.32869450749636e-05	0.0271393250979625	0.4773	0.1757	0.2636	0.2636	TRUE	NA
PRELSG_0003800	49	21	2	25	51	98	47	18	1	2	1	3	1	1	4	6	5	5	5	8	7	8	18	6	25	5	5	13	8.5	6	11	1.592	0.671	1.299	0.194055040328011	0.999204487240972	0	0.266	0.1571	0.1571	TRUE	NA
PRELSG_0003900	403	219	13	232	394	765	411	165	4	12	0	32	12	2	34	58	33	45	37	60	58	74	73	38	0	51	62	26	46.36	46	46	1.193	0.254	0.864	0.387355010890718	0.999204487240972	0.0806	0.0865	0.0836	0.0836	TRUE	NA
PRELSG_0004000	917	698	98	864	1664	1716	1358	504	9	59	4	78	32	6	76	186	252	168	156	134	192	225	164	185	99	125	166	78	157.58	166	149	0.958	-0.062	-0.213	0.831048690336333	0.999204487240972	0.1661	0.0581	0.1161	0.1161	TRUE	NA
PRELSG_0004100	179	70	5	89	169	206	138	29	2	8	0	7	5	1	15	19	13	17	16	16	20	13	36	25	0	11	26	13	17.13	17	18	1.042	0.06	0.156	0.875813153676016	0.999204487240972	0	0.1553	0.0987	0.0987	TRUE	NA
PRELSG_0004200	4	9	0	10	13	10	9	2	0	0	0	0	0	0	0	2	0	2	1	1	1	1	0	0	0	0	0	0	0.63	1	0	1.31	0.39	0.275	0.783564181610934	NA	0	3.0048	2.3666	2.3666	TRUE	NA
PRELSG_0004300	18	5	4	6	16	18	16	9	0	4	0	0	0	0	2	1	10	1	1	1	2	4	0	13	0	0	0	0	2.57	3	2	1.386	0.471	0.583	0.559893548633415	NA	0	0.7722	0.5196	0.5196	TRUE	NA
PRELSG_0004400	44	7	1	14	24	37	16	3	0	0	0	1	0	0	4	2	3	3	2	3	2	1	0	0	0	2	0	0	1.51	3	0	0.639	-0.645	-0.679	0.497165254316683	NA	0	1.2815	0.7301	0.7301	TRUE	NA
PRELSG_0004500	29	9	2	11	35	62	34	8	0	1	0	3	1	0	2	2	5	2	3	5	5	4	0	3	0	5	5	0	2.98	3	2	1.194	0.256	0.369	0.711812996402366	NA	0	0.673	0.336	0.336	TRUE	NA
PRELSG_0004600	545	173	24	311	544	1004	463	190	5	31	4	31	18	1	45	46	62	60	51	79	66	85	91	97	99	50	93	13	66.92	58	75	1.291	0.369	1.434	0.151636164651753	0.999204487240972	0.0571	0.0741	0.0659	0.0659	TRUE	NA
PRELSG_0004650	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	21.63	4.435	1.444	0.14864879305469	NA	0	184.8306	14	14	TRUE	NA
PRELSG_0004700	0	0	0	3	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.09	0	0	13.31	3.734	1.222	0.221741367441387	NA	0	20.7396	14	14	TRUE	NA
PRELSG_0004800	170	131	4	157	205	234	149	85	0	4	0	6	2	2	14	35	10	30	19	18	21	38	0	13	0	10	10	26	17.49	21	14	0.852	-0.23	-0.478	0.632452174395724	0.999204487240972	0.2656	0.153	0.2064	0.2064	TRUE	NA
PRELSG_0004900	9	1	1	2	3	7	2	2	2	0	0	0	0	0	1	0	3	0	0	1	0	1	36	0	0	0	0	0	3.03	1	5	3.449	1.786	1.692	0.0906902793401541	NA	1.4718	0.6622	0.9347	0.9347	TRUE	NA
PRELSG_0005000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRELSG_0005100	19	3	0	8	9	24	7	3	0	0	0	0	0	0	2	1	0	2	1	2	1	1	0	0	0	0	0	0	0.64	1	0	1.191	0.252	0.184	0.853975519793607	NA	0	2.9562	2.1576	2.1576	TRUE	NA
PRELSG_0005200	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	21.197	4.406	1.433	0.151855153020964	NA	0	279.1985	14	14	TRUE	NA
PRELSG_0005250	1	1	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	10.318	3.367	1.111	0.266488208830288	NA	0	19.2066	14	14	TRUE	NA
PRELSG_0005300	3	4	0	3	3	10	2	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0.23	0	0	1.76	0.816	0.363	0.716335797134727	NA	0	8.1059	7.2319	7.2319	TRUE	NA
PRELSG_0005400	10	0	2	1	11	14	5	1	0	0	0	1	0	0	1	0	5	0	1	1	1	0	0	0	0	2	0	0	0.79	1	0	1.892	0.92	0.702	0.48286710110354	NA	0	2.414	2.0384	2.0384	TRUE	NA
PRELSG_0005500	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	21.09	4.398	1.436	0.151106103631396	NA	0	42.3566	14	14	TRUE	NA
PRELSG_0005600	1	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	6.613	2.725	0.895	0.370806438527513	NA	0	47.3118	14	14	TRUE	NA
PRELSG_0005700	19	7	0	9	5	13	6	4	0	1	0	0	0	1	2	2	0	2	0	1	1	2	0	3	0	0	0	13	1.82	1	3	2.038	1.027	1.079	0.280653901218018	NA	0	1.075	0.6564	0.6564	TRUE	NA
PRELSG_0005800	12	2	3	2	11	24	8	2	0	0	0	1	0	0	1	1	8	0	1	2	1	1	0	0	0	2	0	0	1.15	2	0	1.285	0.361	0.341	0.732745783504989	NA	0	1.6647	1.1072	1.1072	TRUE	NA
PRELSG_0005900	5	1	0	1	1	5	5	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0.21	0	0	3.829	1.937	0.973	0.330601636532411	NA	0	8.8741	5.4825	5.4825	TRUE	NA
PRELSG_0006000	16	2	0	5	4	5	2	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0.31	0	0	2.039	1.028	0.577	0.563613293544678	NA	0	6.0816	4.2547	4.2547	TRUE	NA
PRELSG_0006100	6	2	1	8	4	15	7	6	0	0	0	0	0	0	1	1	3	2	0	1	1	3	0	0	0	0	0	0	0.74	1	0	1.806	0.853	0.682	0.495113158210269	NA	0	2.5685	1.6515	1.6515	TRUE	NA
PRELSG_0006140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRELSG_0006150	26	17	1	14	36	35	27	8	0	1	0	3	2	0	2	5	3	3	3	3	4	4	0	3	0	5	10	0	3.13	3	3	1.55	0.632	0.909	0.363130226734557	NA	0	0.6435	0.3292	0.3292	TRUE	NA
PRELSG_0006200	134	26	4	59	212	99	47	10	0	0	0	3	0	1	11	7	10	11	20	8	7	4	0	0	0	5	0	13	6.88	11	3	0.326	-1.617	-2.607	0.00913518866285357	0.397118201412784	0.0063	0.3177	0.2107	0.2107	TRUE	NA
PRELSG_0006300	4	1	0	5	5	19	3	3	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	3	0	0	0	0	0.6	0	1	3.041	1.604	1.195	0.23191154053266	NA	0	3.148	2.0157	2.0157	TRUE	NA
PRELSG_0006350	6	1	1	6	18	10	7	4	0	0	0	0	0	0	1	0	3	1	2	1	1	2	0	0	0	0	0	0	0.7	1	0	1.588	0.667	0.506	0.612969457976294	NA	0	2.7307	2.0027	2.0027	TRUE	NA
PRELSG_0006400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRELSG_0006500	5	6	2	18	18	25	12	24	0	2	1	2	1	0	0	2	5	3	2	2	2	11	0	6	25	3	5	0	4.72	2	7	3.758	1.91	2.601	0.00930709801308104	0.399993689607642	0.4638	0.4419	0.452	0.452	TRUE	NA
PRELSG_0006600	2	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	12.749	3.672	1.211	0.225873422016108	NA	0	22.5815	14	14	TRUE	NA
PRELSG_0006650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRELSG_0006700	27	24	2	16	23	23	18	4	0	3	0	4	0	0	2	6	5	3	2	2	3	2	0	9	0	6	0	0	2.93	3	2	1.22	0.287	0.384	0.701252436659981	NA	0	0.6837	0.4148	0.4148	TRUE	NA
PRELSG_0006800	41	7	0	8	6	16	18	2	0	0	0	2	0	0	3	2	0	2	1	1	3	1	0	0	0	3	0	0	1.09	2	1	1.287	0.364	0.318	0.750427527217934	NA	0	1.7553	1.3541	1.3541	TRUE	NA
PRELSG_0006900	67	18	1	35	63	71	45	7	0	1	0	6	1	1	6	5	3	7	6	6	6	3	0	3	0	10	5	13	5.12	6	5	0.99	-0.014	-0.023	0.982041105002431	0.999765969376198	0	0.4114	0.2538	0.2538	TRUE	NA
PRELSG_0007000	398	132	16	138	404	395	323	52	0	4	0	23	5	5	33	35	41	27	38	31	46	23	0	13	0	37	26	65	29.58	36	23	0.696	-0.523	-1.489	0.136470318097784	0.999204487240972	0.0811	0.1094	0.0966	0.0966	TRUE	NA
PRELSG_0007100	24	18	1	20	36	40	19	14	0	3	0	1	1	0	2	5	3	4	3	3	3	6	0	9	0	2	5	0	3.21	3	3	1.504	0.589	0.808	0.419157613305445	NA	0	0.6288	0.4156	0.4156	TRUE	NA
PRELSG_0007200	7	2	0	4	10	5	4	3	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	3	0	0	0	0	0.59	1	1	2.873	1.523	1.154	0.24866227546172	NA	0	3.209	1.9941	1.9941	TRUE	NA
PRELSG_0007300	99	17	2	29	96	90	50	25	0	2	0	3	1	0	8	5	5	6	9	7	7	11	0	6	0	5	5	0	5.29	7	4	0.845	-0.242	-0.401	0.68839826564229	0.999204487240972	0	0.3992	0.2477	0.2477	TRUE	NA
PRELSG_0007400	34	11	3	13	12	8	10	6	0	2	0	1	0	0	3	3	8	3	1	1	1	3	0	6	0	2	0	0	2.12	3	2	1.186	0.247	0.307	0.758819839113909	NA	0	0.9261	0.4758	0.4758	TRUE	NA
PRELSG_0007500	21	5	0	4	10	22	8	4	0	0	0	0	0	0	2	1	0	1	1	2	1	2	0	0	0	0	0	0	0.67	1	0	1.232	0.301	0.223	0.823394091165367	NA	0	2.818	2.0874	2.0874	TRUE	NA
PRELSG_0007600	50	7	3	11	27	16	19	4	0	0	0	0	0	0	4	2	8	2	3	1	3	2	0	0	0	0	0	0	1.72	3	0	0.506	-0.983	-1.018	0.308833161745996	NA	0	1.1303	0.7941	0.7941	TRUE	NA
PRELSG_0007700	37	30	1	29	27	53	20	9	0	2	0	2	0	0	3	8	3	6	3	4	3	4	0	6	0	3	0	0	3.02	4	2	0.976	-0.035	-0.048	0.962031478515254	NA	0	0.6646	0.3782	0.3782	TRUE	NA
PRELSG_0007800	111	42	1	41	75	71	51	7	0	2	0	4	0	1	9	11	3	8	7	6	7	3	0	6	0	6	0	13	5.68	7	4	0.622	-0.685	-1.048	0.294843829037174	0.999204487240972	0	0.3749	0.2642	0.2642	TRUE	NA
PRELSG_0007900	3	2	0	3	2	5	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0.2	0	0	4.281	2.098	0.898	0.369351332347718	NA	0	9.2664	7.9719	7.9719	TRUE	NA
PRELSG_0007950	48	33	2	35	63	87	46	22	1	2	0	1	2	2	4	9	5	7	6	7	7	10	18	6	0	2	10	26	8.3	6	10	1.498	0.583	1.053	0.292535323975334	0.999204487240972	0.1218	0.2713	0.2152	0.2152	TRUE	NA
PRELSG_0008000	295	83	8	108	245	276	189	80	2	17	1	55	12	6	25	22	21	21	23	22	27	36	36	53	25	88	62	78	38.43	23	54	2.385	1.254	4.236	2.27333405036969e-05	0.0107471867231227	0.0713	0.0948	0.0814	0.0814	TRUE	NA
PRELSG_0008050	18	11	3	26	19	30	25	11	1	3	0	3	1	0	2	3	8	5	2	2	4	5	18	9	0	5	5	0	4.82	4	6	2.225	1.154	1.868	0.061753775241481	0.923133509736288	0	0.4342	0.2336	0.2336	TRUE	NA
PRELSG_0008100	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	21.503	4.426	1.441	0.149595613997307	NA	0	334.3479	14	14	TRUE	NA
PRELSG_0008200	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	8.134	3.024	0.991	0.321484478153514	NA	0	42.4882	14	14	TRUE	NA
PRELSG_0008300	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	14.398	3.848	1.257	0.2089014869641	NA	0	74.6413	14	14	TRUE	NA
PRELSG_0008400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRELSG_0008500	1	0	0	0	3	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0.43	0	1	19.664	4.298	1.866	0.0620640368700902	NA	0	4.3612	7.492	7.492	TRUE	NA
PRELSG_0008600	53	15	1	29	37	86	29	19	0	0	1	1	1	0	4	4	3	6	3	7	4	8	0	0	25	2	5	0	5.06	4	6	1.055	0.077	0.11	0.912146619966112	0.999204487240972	0.2024	0.4151	0.3147	0.3147	TRUE	NA
PRELSG_0008700	735	217	16	304	663	869	463	133	2	16	4	33	13	8	61	58	41	59	62	68	66	59	36	50	99	53	67	104	63.13	59	67	1.038	0.054	0.241	0.809170095639533	0.999204487240972	0.0023	0.0758	0.0387	0.0387	TRUE	NA
PRELSG_0008800	903	326	38	474	830	1010	570	216	5	34	1	41	13	6	75	87	98	92	78	79	81	96	91	107	25	66	67	78	79.95	84	76	0.971	-0.042	-0.192	0.847617107412374	0.999204487240972	0	0.0696	0.043	0.043	TRUE	NA
PRELSG_0008900	235	62	7	74	194	177	106	32	2	2	0	10	5	4	20	17	18	14	18	14	15	14	36	6	0	16	26	52	19.02	17	21	1.081	0.112	0.264	0.79216045469496	0.999204487240972	0.1314	0.1444	0.1384	0.1384	TRUE	NA
PRELSG_0009000	456	108	7	194	619	402	195	49	3	5	2	13	3	1	38	29	18	38	58	31	28	22	55	16	49	21	16	13	30.76	34	27	0.613	-0.705	-2.015	0.0439207895979969	0.802246490022472	0.0497	0.1069	0.0816	0.0816	TRUE	NA
PRELSG_0009100	720	215	16	238	563	834	414	116	2	24	1	31	6	7	60	57	41	46	53	65	59	52	36	75	25	50	31	91	52.94	54	51	0.945	-0.082	-0.304	0.760784235880694	0.999204487240972	0.0236	0.0815	0.0633	0.0633	TRUE	NA
PRELSG_0009200	183	41	4	38	124	171	68	19	1	3	0	7	2	2	15	11	10	7	12	13	10	8	18	9	0	11	10	26	11.58	11	12	0.88	-0.185	-0.405	0.685613504855519	0.999204487240972	0	0.2075	0.1254	0.1254	TRUE	NA
PRELSG_0009300	133	43	3	76	126	173	87	34	0	3	0	8	4	0	11	11	8	15	12	14	12	15	0	9	0	13	21	0	10.06	12	8	1.044	0.062	0.138	0.890556881906183	0.999204487240972	0	0.232	0.1291	0.1291	TRUE	NA
