Id	D8B1	D8B2	D8B3	D8B6	D8B7	D8B8	D8B9	D20B1	D20B2	D20B3	D20B6	D20B7	D20B8	D20B9	norm.D8B1	norm.D8B2	norm.D8B3	norm.D8B6	norm.D8B7	norm.D8B8	norm.D8B9	norm.D20B1	norm.D20B2	norm.D20B3	norm.D20B6	norm.D20B7	norm.D20B8	norm.D20B9	baseMean	D8	D20	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
PRELSG_1018400	22	12	0	15	19	24	22	8	0	2	0	3	0	3	2	3	0	3	2	2	3	4	0	6	0	5	0	39	4.88	2	8	2.823	1.497	2.057	0.0396596280723451	0.789435333524258	0.3925	0.4293	0.4118	0.4118	TRUE	NA
PRELSG_1018500	772	217	23	275	668	793	366	111	3	9	3	27	13	2	64	58	59	53	63	62	52	50	55	28	74	43	67	26	53.88	59	49	0.767	-0.383	-1.522	0.128059940758127	0.999204487240972	0	0.0809	0.0462	0.0462	TRUE	NA
PRELSG_1018600	7	1	0	3	12	13	4	1	0	0	0	1	0	0	1	0	0	1	1	1	1	0	0	0	0	2	0	0	0.44	1	0	2.232	1.158	0.809	0.41839017078334	NA	0	4.2703	2.4806	2.4806	TRUE	NA
PRELSG_1018700	76	16	1	41	56	119	38	19	0	1	0	2	1	0	6	4	3	8	5	9	5	8	0	3	0	3	5	0	4.36	6	3	0.817	-0.292	-0.447	0.655017096257913	0.999204487240972	0	0.4745	0.2829	0.2829	TRUE	NA
PRELSG_1018800	605	218	20	313	706	628	317	88	3	3	4	21	6	2	50	58	51	61	66	49	45	39	55	9	99	34	31	26	48.13	54	42	0.629	-0.669	-2.179	0.029364365351123	0.707363246865905	0.0564	0.085	0.0736	0.0736	TRUE	NA
PRELSG_1018900	575	126	14	207	440	606	313	103	2	19	3	31	11	4	48	34	36	40	41	47	44	46	36	60	74	50	57	52	47.54	41	54	1.201	0.264	1.071	0.284262207269224	0.999204487240972	0	0.0855	0.0461	0.0461	TRUE	NA
PRELSG_1019000	439	153	13	231	515	528	248	121	0	2	1	19	7	3	37	41	33	45	48	41	35	54	0	6	25	31	36	39	33.64	40	27	0.731	-0.451	-1.251	0.210900970781141	0.999204487240972	0.1241	0.1017	0.1104	0.1104	TRUE	NA
PRELSG_1019100	72	22	2	39	69	88	44	19	0	2	0	4	1	1	6	6	5	8	6	7	6	8	0	6	0	6	5	13	5.96	6	5	1.105	0.144	0.258	0.796324834644704	0.999204487240972	0	0.3595	0.1927	0.1927	TRUE	NA
PRELSG_1019200	8	0	0	6	2	13	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	3	0	0	0	0	0.48	0	0	3.591	1.844	1.134	0.256994531950543	NA	0	3.911	3.3364	3.3364	TRUE	NA
PRELSG_1019300	57	7	0	12	25	57	17	7	0	2	1	0	1	1	5	2	0	2	2	4	2	3	0	6	25	0	5	13	5.03	2	7	1.583	0.663	0.86	0.389902504806365	0.999204487240972	0.5161	0.4175	0.4601	0.4601	TRUE	NA
